gene	go
ABCC8	GO:0009268
ABCC8	GO:0009410
ABCC8	GO:0010043
ABCC8	GO:0055085
ABCC8	GO:0008542
SCN4B	GO:0014704
SCN4B	GO:0031226
SCN4B	GO:0005886
SCN4B	GO:0001518
SCN4B	GO:0017080
SCN4B	GO:0044325
SCN4B	GO:0005244
SCN4B	GO:0005248
SCN4B	GO:0086006
SCN4B	GO:0086016
SCN4B	GO:0086002
SCN4B	GO:0060048
SCN4B	GO:0086012
SCN4B	GO:0010765
SCN4B	GO:0086091
SCN4B	GO:2000649
SCN4B	GO:0060307
SCN4B	GO:0035725
SCN4B	GO:0006814
KCNK6	GO:0005887
KCNK6	GO:0005886
KCNK6	GO:0008076
KCNK6	GO:0005242
KCNK6	GO:0022841
KCNK6	GO:0003085
KCNK6	GO:0071805
KCNK6	GO:0006813
KCNK6	GO:0034765
KCNK6	GO:0060075
KCNK6	GO:0030322
KCNK9	GO:0005887
KCNK9	GO:0005886
KCNK9	GO:0008021
KCNK9	GO:0005267
KCNK9	GO:0022841
KCNK9	GO:0005249
KCNK9	GO:1990573
KCNK9	GO:0071805
KCNK9	GO:0006813
KCNK9	GO:0030322
KCNK3	GO:0005887
KCNK3	GO:0005886
KCNK3	GO:0045202
KCNK3	GO:0005216
KCNK3	GO:0005252
KCNK3	GO:0005267
KCNK3	GO:0022841
KCNK3	GO:0008022
KCNK3	GO:0044548
KCNK3	GO:0007420
KCNK3	GO:0071456
KCNK3	GO:0071294
KCNK3	GO:0007268
KCNK3	GO:0090102
KCNK3	GO:0034220
KCNK3	GO:0051481
KCNK3	GO:0071805
KCNK3	GO:0006813
KCNK3	GO:0009410
KCNK3	GO:0030322
MTR1B	GO:0005887
MTR1B	GO:0005886
MTR1B	GO:0045202
MTR1B	GO:0004930
MTR1B	GO:0008502
MTR1B	GO:0043010
MTR1B	GO:0007268
MTR1B	GO:0007186
MTR1B	GO:0007187
MTR1B	GO:0042593
MTR1B	GO:0010754
MTR1B	GO:0051481
MTR1B	GO:1902260
MTR1B	GO:0046676
MTR1B	GO:0043524
MTR1B	GO:0051970
MTR1B	GO:0045906
MTR1B	GO:0046010
MTR1B	GO:0051971
MTR1B	GO:0050796
MTR1B	GO:0098908
TRPA1	GO:0005887
TRPA1	GO:0005886
TRPA1	GO:0032421
TRPA1	GO:0005262
TRPA1	GO:0015278
TRPA1	GO:0015267
TRPA1	GO:0042802
TRPA1	GO:0097604
TRPA1	GO:0070588
TRPA1	GO:0007166
TRPA1	GO:0006874
TRPA1	GO:0070301
TRPA1	GO:0071310
TRPA1	GO:0050968
TRPA1	GO:0050966
TRPA1	GO:0006811
TRPA1	GO:0051289
TRPA1	GO:0009409
TRPA1	GO:0014070
TRPA1	GO:0010033
TRPA1	GO:0048265
TRPA1	GO:0009410
TRPA1	GO:0019233
TRPA1	GO:0050955
MTR1A	GO:0005887
MTR1A	GO:0005886
MTR1A	GO:0043235
MTR1A	GO:0004930
MTR1A	GO:0042562
MTR1A	GO:0008502
MTR1A	GO:0097159
MTR1A	GO:0007193
MTR1A	GO:0007623
MTR1A	GO:0007186
MTR1A	GO:0007187
MTR1A	GO:0007617
ADRB3	GO:0005887
ADRB3	GO:0005886
ADRB3	GO:0043235
ADRB3	GO:0004939
ADRB3	GO:0015052
ADRB3	GO:0051379
ADRB3	GO:0004930
ADRB3	GO:0042803
ADRB3	GO:0007190
ADRB3	GO:0071880
ADRB3	GO:0007188
ADRB3	GO:0005975
ADRB3	GO:0006112
ADRB3	GO:0007187
ADRB3	GO:0006091
ADRB3	GO:0002025
ADRB3	GO:0120162
ADRB3	GO:0043410
PE2R2	GO:0005887
PE2R2	GO:0005886
PE2R2	GO:0004957
PE2R2	GO:0007189
PE2R2	GO:0071380
PE2R2	GO:0007186
PE2R2	GO:0006954
PE2R2	GO:0007204
PE2R2	GO:0042127
PE2R2	GO:0032496
PE2R2	GO:0032570
AA3R	GO:0005887
AA3R	GO:0005886
AA3R	GO:0042734
AA3R	GO:0001609
AA3R	GO:0007190
AA3R	GO:0006954
AA3R	GO:0030336
AA3R	GO:0008285
AA3R	GO:0032088
AA3R	GO:0008016
AA3R	GO:0014061
AA3R	GO:0009611
AA3R	GO:0007165
KCNK4	GO:0005887
KCNK4	GO:0005886
KCNK4	GO:0034705
KCNK4	GO:0042802
KCNK4	GO:0098782
KCNK4	GO:0005267
KCNK4	GO:0022841
KCNK4	GO:0097604
KCNK4	GO:0005244
KCNK4	GO:0071469
KCNK4	GO:0071398
KCNK4	GO:0071260
KCNK4	GO:0071502
KCNK4	GO:0050976
KCNK4	GO:0007613
KCNK4	GO:0071805
KCNK4	GO:0006813
KCNK4	GO:0034765
KCNK4	GO:0019233
KCNK4	GO:0050951
KCNK4	GO:0030322
GRIK1	GO:0005887
GRIK1	GO:0005886
GRIK1	GO:0045211
GRIK1	GO:0008066
GRIK1	GO:0015277
GRIK1	GO:0015276
GRIK1	GO:0038023
GRIK1	GO:1904315
GRIK1	GO:0007417
GRIK1	GO:0007268
GRIK1	GO:0007215
GRIK1	GO:0050804
GRIK1	GO:0007399
GRIK1	GO:0051966
GRIK1	GO:0035249
NPY1R	GO:0005887
NPY1R	GO:0005886
NPY1R	GO:0004983
NPY1R	GO:0001602
NPY1R	GO:0001601
NPY1R	GO:0007193
NPY1R	GO:0007631
NPY1R	GO:0007187
NPY1R	GO:0006006
NPY1R	GO:0007626
NPY1R	GO:0003151
NPY1R	GO:0008217
NPY1R	GO:0040014
NPY1R	GO:0019233
KCNH6	GO:0005887
KCNH6	GO:0005886
KCNH6	GO:0005242
KCNH6	GO:0005249
KCNH6	GO:0086011
KCNH6	GO:0071805
KCNH6	GO:0086091
KCNH6	GO:0042391
KCNH6	GO:0060307
KCNH7	GO:0005887
KCNH7	GO:0005886
KCNH7	GO:0005242
KCNH7	GO:0044877
KCNH7	GO:0005249
KCNH7	GO:0007623
KCNH7	GO:0086011
KCNH7	GO:0071805
KCNH7	GO:0034765
KCNH7	GO:0042391
GNRR2	GO:0005887
GNRR2	GO:0005886
GNRR2	GO:0004930
GNRR2	GO:0004968
GNRR2	GO:0042277
GNRR2	GO:0007186
NTR2	GO:0005887
NTR2	GO:0005886
NTR2	GO:0016492
NTR2	GO:0004930
NTR2	GO:0007166
NTR2	GO:0007186
NTR2	GO:0007218
NTR2	GO:0007200
NTR2	GO:0042391
NTR2	GO:0007600
EDNRA	GO:0005887
EDNRA	GO:0005886
EDNRA	GO:0004962
EDNRA	GO:0004435
EDNRA	GO:0007190
EDNRA	GO:0007202
EDNRA	GO:0007193
EDNRA	GO:0035904
EDNRA	GO:0014824
EDNRA	GO:0003228
EDNRA	GO:0048675
EDNRA	GO:0060385
EDNRA	GO:0001974
EDNRA	GO:0001569
EDNRA	GO:0070588
EDNRA	GO:0060070
EDNRA	GO:0003207
EDNRA	GO:0003253
EDNRA	GO:0008283
EDNRA	GO:0006874
EDNRA	GO:0071372
EDNRA	GO:0044751
EDNRA	GO:0071373
EDNRA	GO:0034599
EDNRA	GO:1904888
EDNRA	GO:0035050
EDNRA	GO:0048706
EDNRA	GO:0086101
EDNRA	GO:0048484
EDNRA	GO:0061028
EDNRA	GO:0060324
EDNRA	GO:0007186
EDNRA	GO:0010467
EDNRA	GO:0072011
EDNRA	GO:0003094
EDNRA	GO:1903210
EDNRA	GO:0072112
EDNRA	GO:0030202
EDNRA	GO:0007249
EDNRA	GO:0001701
EDNRA	GO:0003220
EDNRA	GO:1903537
EDNRA	GO:0097152
EDNRA	GO:0042474
EDNRA	GO:0007005
EDNRA	GO:0000278
